id,n,log2(n),log3(n),log4(n)
755,755,9.56,6.03,4.78
756,756,9.56,6.03,4.78
757,757,9.56,6.03,4.78
758,758,9.57,6.04,4.78
759,759,9.57,6.04,4.78
760,760,9.57,6.04,4.78
761,761,9.57,6.04,4.79
762,762,9.57,6.04,4.79
763,763,9.58,6.04,4.79
764,764,9.58,6.04,4.79
765,765,9.58,6.04,4.79
766,766,9.58,6.05,4.79
767,767,9.58,6.05,4.79
768,768,9.58,6.05,4.79
769,769,9.59,6.05,4.79
770,770,9.59,6.05,4.79
771,771,9.59,6.05,4.80
772,772,9.59,6.05,4.80
773,773,9.59,6.05,4.80
774,774,9.60,6.05,4.80
775,775,9.60,6.06,4.80
776,776,9.60,6.06,4.80
777,777,9.60,6.06,4.80
778,778,9.60,6.06,4.80
779,779,9.61,6.06,4.80
780,780,9.61,6.06,4.80
781,781,9.61,6.06,4.80
782,782,9.61,6.06,4.81
783,783,9.61,6.07,4.81
784,784,9.61,6.07,4.81
785,785,9.62,6.07,4.81
786,786,9.62,6.07,4.81
787,787,9.62,6.07,4.81
788,788,9.62,6.07,4.81
789,789,9.62,6.07,4.81
790,790,9.63,6.07,4.81
791,791,9.63,6.07,4.81
792,792,9.63,6.08,4.81
793,793,9.63,6.08,4.82
794,794,9.63,6.08,4.82
795,795,9.63,6.08,4.82
796,796,9.64,6.08,4.82
797,797,9.64,6.08,4.82
798,798,9.64,6.08,4.82
799,799,9.64,6.08,4.82
800,800,9.64,6.08,4.82
801,801,9.65,6.09,4.82
802,802,9.65,6.09,4.82
803,803,9.65,6.09,4.82
804,804,9.65,6.09,4.83
805,805,9.65,6.09,4.83
806,806,9.65,6.09,4.83
807,807,9.66,6.09,4.83
808,808,9.66,6.09,4.83
809,809,9.66,6.09,4.83
810,810,9.66,6.10,4.83
811,811,9.66,6.10,4.83
812,812,9.67,6.10,4.83
813,813,9.67,6.10,4.83
814,814,9.67,6.10,4.83
815,815,9.67,6.10,4.84
816,816,9.67,6.10,4.84
817,817,9.67,6.10,4.84
818,818,9.68,6.10,4.84
819,819,9.68,6.11,4.84
820,820,9.68,6.11,4.84
821,821,9.68,6.11,4.84
822,822,9.68,6.11,4.84
823,823,9.68,6.11,4.84
824,824,9.69,6.11,4.84
825,825,9.69,6.11,4.84
826,826,9.69,6.11,4.84
827,827,9.69,6.11,4.85
828,828,9.69,6.12,4.85
829,829,9.70,6.12,4.85
830,830,9.70,6.12,4.85
831,831,9.70,6.12,4.85
832,832,9.70,6.12,4.85
833,833,9.70,6.12,4.85
834,834,9.70,6.12,4.85
835,835,9.71,6.12,4.85
836,836,9.71,6.12,4.85
837,837,9.71,6.13,4.85
838,838,9.71,6.13,4.86
839,839,9.71,6.13,4.86
840,840,9.71,6.13,4.86
841,841,9.72,6.13,4.86
842,842,9.72,6.13,4.86
843,843,9.72,6.13,4.86
844,844,9.72,6.13,4.86
