id,n,L
1159,1159,17.30
1160,1160,17.31
1161,1161,17.31
1162,1162,17.31
1163,1163,17.31
1164,1164,17.31
1165,1165,17.32
1166,1166,17.32
1167,1167,17.32
1168,1168,17.32
1169,1169,17.32
1170,1170,17.33
1171,1171,17.33
1172,1172,17.33
1173,1173,17.33
1174,1174,17.34
1175,1175,17.34
1176,1176,17.34
1177,1177,17.34
1178,1178,17.34
1179,1179,17.35
1180,1180,17.35
1181,1181,17.35
1182,1182,17.35
1183,1183,17.35
1184,1184,17.36
1185,1185,17.36
1186,1186,17.36
1187,1187,17.36
1188,1188,17.36
1189,1189,17.37
1190,1190,17.37
1191,1191,17.37
1192,1192,17.37
1193,1193,17.37
1194,1194,17.38
1195,1195,17.38
1196,1196,17.38
1197,1197,17.38
1198,1198,17.38
1199,1199,17.39
